name,function,country,discipline
Mc DONALD Janelle Leigh,Coach,Philippines,Artistic Gymnastics
QUESNEL Yannick,Goalkeeper Coach,Guinea,Football
TANSKANEN Juha Petteri,Coach,Syria,Artistic Gymnastics
CHOUBA Jaouad,Coach,Guinea-Bissau,Taekwondo
HERDEIRO Alvaro Francisco,Assistant Coach,Brazil,Handball
MAROJA Gabriel Augusto,Assistant Coach,Brazil,Handball
ALONSO BERNARDO Jessica,Assistant Coach,Spain,Handball
LARSSON Thomas Erik Daniel,Assistant Coach,Netherlands,Handball
CAROU Gonzalo,Assistant Coach,Argentina,Handball
CAZON Guillermo,Assistant Coach,Argentina,Handball
CAAMANO Juan,Assistant Coach,Spain,Handball
TORRESCUSA Ignacio,Assistant Coach,Spain,Handball
GJERDE Joar,Assistant Coach,Norway,Handball
BONDAR Vladyslav,Coach,Burkina Faso,Taekwondo
CICHELLO Juan Manuel,Assistant Coach,Italy,Volleyball
VASSILIADES Emmanuel,Assistant Coach,Greece,Water Polo
