name,country,discipline
Eugenia BOSCO,Argentina,['Sailing']
Chiara FERRETTI,Argentina,['Sailing']
Mateo MAJDALANI,Argentina,['Sailing']
Francisco CRUZ SAUBIDET BIRKNER,Argentina,['Sailing']
Maria Catalina TURIENZO,Argentina,['Sailing']
Chelsea EDGHILL,Guyana,['Table Tennis']
Prithviraj TONDAIMAN,India,['Shooting']
Swapnil KUSALE,India,['Shooting']
Manika BATRA,India,['Table Tennis']
Manav Vikash THAKKAR,India,['Table Tennis']
Alina ZMUSHKA,AIN,['Swimming']
Sreeja AKULA,India,['Table Tennis']
Maheshwari CHAUHAN,India,['Shooting']
Ilya SHYMANOVICH,AIN,['Swimming']
Sharath Kamal ACHANTA,India,['Table Tennis']
Anastasiya SHKURDAI,AIN,['Swimming']
Anjum MOUDGIL,India,['Shooting']
Shreyasi SINGH,India,['Shooting']
Manu BHAKER,India,['Shooting']
Yauheni ZALATY,AIN,['Rowing']
Elavenil VALARIVAN,India,['Shooting']
Harmeet DESAI,India,['Table Tennis']
Archana Girish KAMATH,India,['Table Tennis']
Kennice Aphenie GREENE,StVincent&Grenadines,['Swimming']
Alex JOACHIM,StVincent&Grenadines,['Swimming']
Agustina ALBERTARRIO,Argentina,['Hockey']
Agostina ALONSO,Argentina,['Hockey']
Maria CAMPOY,Argentina,['Hockey']
Sofia CAIRO,Argentina,['Hockey']
Lara CASAS,Argentina,['Hockey']
Juana CASTELLARO MORELLO,Argentina,['Hockey']
Cristina COSENTINO,Argentina,['Hockey']
Agustina GORZELANY,Argentina,['Hockey']
Maria GRANATTO,Argentina,['Hockey']
Julieta JANKUNAS,Argentina,['Hockey']
Valentina RAPOSO RUIZ de los LLANOS,Argentina,['Hockey']
Rocio SANCHEZ MOCCIA,Argentina,['Hockey']
Victoria SAUZE VALDEZ,Argentina,['Hockey']
Sofia TOCCALINO,Argentina,['Hockey']
Eugenia TRINCHINETTI,Argentina,['Hockey']
Agustin BUGALLO,Argentina,['Hockey']
Bautista CAPURRO ZUBELDIA,Argentina,['Hockey']
Maico CASELLA SCHUTH,Argentina,['Hockey']
Juan CATAN,Argentina,['Hockey']
Tomas DOMENE,Argentina,['Hockey']
Thomas HABIF,Argentina,['Hockey']
Nicolas KEENAN,Argentina,['Hockey']
Tadeo MARCUCCI,Argentina,['Hockey']
Lucas MARTINEZ,Argentina,['Hockey']
Tobias MARTINS,Argentina,['Hockey']
Mahsa JAVER,IR Iran,['Rowing']
Zeinab NOROUZI TAZEH KAND,IR Iran,['Rowing']
Mohammad BEYRANVAND,IR Iran,['Shooting']
Haniyeh ROSTAMIYAN,IR Iran,['Shooting']
Fatemeh AMINI POZVEH,IR Iran,['Shooting']
Shermineh CHEHEL AMIRANI,IR Iran,['Shooting']
Madalina AMAISTROAIE,Romania,['Archery']
Carole Diana BOUZIDI,Algeria,['Canoe Slalom']
Askerbii GERBEKOV,Bahrain,['Judo']
Arthur CISSE,Côte d'Ivoire,['Athletics']
Maboundou KONE,Côte d'Ivoire,['Athletics']
Shakhzod NURMATOV,Uzbekistan,['Rowing']
Anna PRAKATEN,Uzbekistan,['Rowing']
Sobirjon SAFAROLIYEV,Uzbekistan,['Rowing']
Mahdi OLFATI,IR Iran,['Artistic Gymnastics']
Jiexian Stephenie CHEN,Singapore,['Canoe Sprint']
Agustin MAZZILLI,Argentina,['Hockey']
Federico MONJA,Argentina,['Hockey']
Matias REY,Argentina,['Hockey']
Tomas SANTIAGO,Argentina,['Hockey']
Santiago TARAZONA,Argentina,['Hockey']
Lucas TOSCANI,Argentina,['Hockey']
Agustin VERNICE,Argentina,['Canoe Sprint']
Janeek BROWN,Jamaica,['Athletics']
Gonzalo Nahuel MOLINA,Argentina,['Cycling BMX Racing']
Federico Emiliano VILLEGAS,Argentina,['Cycling BMX Racing']
Lloydricia CAMERON,Jamaica,['Athletics']
Jah-Nhai PERINCHIEF,Bermuda,['Athletics']
Rushell CLAYTON,Jamaica,['Athletics']
Flora DUFFY,Bermuda,['Triathlon']
Alin Alexandru FIRFIRICA,Romania,['Athletics']
Bianca Florentina GHELBER,Romania,['Athletics']
Diana Ana Maria ION,Romania,['Athletics']
Joan Chelimo MELLY,Romania,['Athletics']
Delvine Relin MERINGOR,Romania,['Athletics']
Andrea MIKLOS,Romania,['Athletics']
Alexandru Mihaita NOVAC,Romania,['Athletics']
H. S. PRANNOY,India,['Badminton']
Satwiksairaj RANKIREDDY,India,['Badminton']
Chirag SHETTY,India,['Badminton']
Bob BERTEMES,Luxembourg,['Athletics']
V. Sindhu PUSARLA,India,['Badminton']
Anush AGARWALLA,India,['Equestrian']
Tanisha CRASTO,India,['Badminton']
Ashwini PONNAPPA,India,['Badminton']
Alina ROTARU-KOTTMANN,Romania,['Athletics']
Stella RUTTO,Romania,['Athletics']
Daniela STANCIU,Romania,['Athletics']
Elena Andreea TALOS,Romania,['Athletics']
Andrei Rares TOADER,Romania,['Athletics']
Filipe GOMES,Malawi,['Swimming']
Daiana OCAMPO,Argentina,['Athletics']
Emanuel ARCHIBALD,Guyana,['Athletics']
Aliyah ABRAMS,Guyana,['Athletics']
Raekwon Jibril NOEL,Guyana,['Swimming']
Aleka Kylela PERSAUD,Guyana,['Swimming']
Zahria ALLERS-LIBURD,St Kitts and Nevis,['Athletics']
Cheickna TRAORE,Côte d'Ivoire,['Athletics']
Whitney TIE,Côte d'Ivoire,['Athletics']
Vijayveer SIDHU,India,['Shooting']
Aishwary Pratap Singh TOMAR,India,['Shooting']
Anant Jeet Singh NARUKA,India,['Shooting']
Anish ANISH,India,['Shooting']
Arjun BABUTA,India,['Shooting']
Arjun Singh CHEEMA,India,['Shooting']
Abderrahmane BOUSHITA,Morocco,['Judo']
Sandeep SINGH,India,['Shooting']
Sift Kaur SAMRA,India,['Shooting']
Esha SINGH,India,['Shooting']
Ramita RAMITA,India,['Shooting']
Rajeshwari KUMARI,India,['Shooting']
Rhythm SANGWAN,India,['Shooting']
Lakshya SEN,India,['Badminton']
Pascual Maria di TELLA,Argentina,['Fencing']
Rachael DARRAGH,Ireland,['Badminton']
Harry McNULTY,Ireland,['Rugby Sevens']
Bryan MOLLEN,Ireland,['Rugby Sevens']
